CID,Molecular Formula,Molecular Weight,Canonical SMILES,InChIKey
8516016,C15H16N2O4S,320.4,COC1=CC=C(C=C1)C(=O)NNS(=O)(=O)CC2=CC=CC=C2,WDRWWKYQORRQNV-UHFFFAOYSA-N
2423965,C25H20N4O3,424.5,C1=CC=C(C=C1)C2=NN(C(=C2)NC3=CC=CC=C3NC(=O)C=CC(=O)O)C4=CC=CC=C4,LNHUTUHRSLRYEC-FOCLMDBBSA-N
2224842,C16H11Cl2N4O3-,378.2,C1=CC(=CC=C1C2=NN(N=N2)CC3=C(C=C(C=C3)Cl)Cl)OCC(=O)[O-],HIERQTABCPCOFH-UHFFFAOYSA-M
7369821,C17H14FN3OS2,359.4,C1=CC=C(C=C1)CSCC2=NN=C(S2)NC(=O)C3=CC(=CC=C3)F,LGLAWICSUJTVTG-UHFFFAOYSA-N
2485290,C25H29NO5S,455.6,CC1=CC=C(C=C1)C(=O)C(C)OC(=O)C=CC2=CC=C(C=C2)S(=O)(=O)N3CCCCCC3,NMMQDXCIGJNJPK-TUOAVLBBSA-N
1164813,C22H23ClN2O5S,462.9,COC1=CC2=C(C=C1)C=C(C(=O)N2)CN(CC3CCCO3)S(=O)(=O)C4=CC=CC=C4Cl,XVRPAZVOFWJMRS-GOSISDBHSA-N
7189929,C21H22N2O5,382.4,CCN1C(=O)C2=CC=CC=C2C(=N1)C(=O)OCCOC3=CC=C(C=C3)OCC,MYUUPDUWBGICGF-UHFFFAOYSA-N
9239964,C18H23N5OS,357.5,CC1CCCC(=NNC(=O)C2=CC=C(C=C2)CSC3=NN=CN3C)C1,KJOIXEAVRMGHBW-MMOSJZJFSA-N
7791452,C18H18FNO4,331.3,CC(C(=O)NCC1=CC=CC=C1)OC(=O)COC2=CC=C(C=C2)F,YTQKPXSOZQJPML-CYBMUJFWSA-N
2526011,C18H11Cl2N3O2S,404.3,C1=CC(=CC=C1C#N)OCC(=O)NC2=NC(=CS2)C3=C(C=CC(=C3)Cl)Cl,XMXSNMRGMDEPRD-UHFFFAOYSA-N
